Epoch,,Training_MSE,Val_MSE,MME_MSE
159,,0.949918,4.47926,2.6074037708
160,,0.947123,4.48243,2.6074037708
161,,0.943461,4.48387,2.6074037708
162,,0.939604,4.48204,2.6074037708
163,,0.933559,4.48492,2.6074037708
164,,0.933212,4.48234,2.6074037708
165,,0.930141,4.48267,2.6074037708
166,,0.926247,4.48876,2.6074037708
167,,0.92384,4.49129,2.6074037708
168,,0.919185,4.49001,2.6074037708
169,,0.914112,4.48896,2.6074037708
170,,0.913198,4.4938,2.6074037708
171,,0.91098,4.49938,2.6074037708
172,,0.907189,4.49327,2.6074037708
173,,0.903302,4.48782,2.6074037708
174,,0.900439,4.48185,2.6074037708
175,,0.897639,4.48395,2.6074037708
176,,0.89457,4.48625,2.6074037708
177,,0.890904,4.49061,2.6074037708
178,,0.888368,4.49138,2.6074037708
179,,0.885169,4.49195,2.6074037708
180,,0.882259,4.48906,2.6074037708
181,,0.878409,4.49034,2.6074037708
182,,0.875868,4.49159,2.6074037708
183,,0.871158,4.49464,2.6074037708
184,,0.870427,4.49219,2.6074037708
185,,0.867933,4.48711,2.6074037708
186,,0.864896,4.48645,2.6074037708
187,,0.861552,4.49144,2.6074037708
188,,0.859233,4.49421,2.6074037708
189,,0.855895,4.49403,2.6074037708
190,,0.852706,4.49517,2.6074037708
191,,0.850209,4.48383,2.6074037708
192,,0.847832,4.48616,2.6074037708
193,,0.843988,4.49381,2.6074037708
194,,0.841864,4.49135,2.6074037708
195,,0.839489,4.49587,2.6074037708
196,,0.834251,4.49786,2.6074037708
197,,0.833409,4.49968,2.6074037708
198,,0.830082,4.4966,2.6074037708
199,,0.828283,4.50159,2.6074037708
200,,0.825715,4.50419,2.6074037708
201,,0.822812,4.49963,2.6074037708
202,,0.820431,4.50159,2.6074037708
203,,0.817908,4.50546,2.6074037708
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
211,,,,
212,,,,
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,,,,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,,,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,,,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,,,,
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,,,,
316,,,,
317,,,,
318,,,,
319,,,,
320,,,,
321,,,,
322,,,,
323,,,,
324,,,,
